,20200214,20200213,20200212,20200211,20200210,20200209,20200208,20200207,20200206,20200205,20200204,20200203,20200202,20200201,20200131,20200130,20200129,20200128,20200127,20200126,20200125,20200124,20200123,20200122,20200121,20200120,20200119,20200118,20200117,20200116,20200115,20200114,20200113,20200112,case
许昌市,0,3,0,2,1,0,1,2,2,2,5,4,2,1,4,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
达州市,0,0,3,3,2,3,0,2,3,3,4,2,2,0,1,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36
德州市,1,0,2,1,0,2,2,1,1,7,0,0,0,2,1,5,0,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36
齐齐哈尔市,0,3,0,1,2,3,0,0,1,6,14,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
兰州市,0,0,0,0,2,0,1,0,2,0,2,2,3,3,5,1,0,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,35
南充市,0,0,1,0,1,1,1,1,1,1,1,1,3,7,5,2,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35
湘潭市,1,2,0,0,1,3,0,3,1,1,2,2,3,3,3,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,35
晋中市,0,0,1,1,1,0,2,3,1,5,2,4,2,2,2,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35
马鞍山,1,2,0,0,1,0,0,1,0,0,2,0,1,5,8,0,3,1,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,35
厦门市,0,0,2,1,3,3,0,2,2,0,1,1,1,1,4,6,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,34
漯河市,1,0,0,2,1,0,1,3,0,2,1,3,4,2,1,2,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34
贵阳市,0,1,4,0,2,5,4,0,3,3,2,3,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34
海口市,4,0,0,0,1,5,0,4,3,0,2,1,2,0,2,0,0,2,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,33
张家口市,2,6,4,0,4,3,0,1,1,2,1,0,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
银川市,1,0,1,1,2,0,0,1,2,5,0,1,3,1,4,2,2,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33
萍乡市,1,2,0,3,1,1,0,0,1,1,2,2,3,6,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32
保定市,1,0,0,1,4,5,3,0,1,0,4,0,0,2,0,4,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,32
泰安市,0,0,0,0,6,3,3,0,2,4,2,1,2,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
遵义市,3,3,0,2,4,4,0,3,3,0,0,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
