city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
610300,宝鸡市,Baoji,-0.358538534,"-0.09(-0.31, 0.12)","-0.09(-0.34, 0.14)","0(-1, 1)"
211100,盘锦市,Panjin,-0.160549312,"-0.05(-0.39, 0.39)","-0.05(-0.43, 0.4)","0(-1, 1)"
150600,鄂尔多斯市,Erdos,-0.228531926,"-0.08(-0.4, 0.36)","-0.08(-0.44, 0.37)","0(-1, 1)"
510900,遂宁市,Suining,-0.129783565,"-0.03(-0.26, 0.2)","-0.03(-0.29, 0.22)","0(-1, 1)"
520200,六盘水市,Liupanshui,0.112901797,"0.03(-0.2, 0.28)","0.03(-0.23, 0.3)","0(-1, 1)"
450900,玉林市,Yulin,-0.02367526,"-0.01(-0.24, 0.24)","-0.01(-0.26, 0.25)","0(-1, 1)"
610600,延安市,Yanan,-0.302099123,"-0.1(-0.43, 0.33)","-0.1(-0.46, 0.34)","0(-1, 1)"
433100,湘西土家族苗族自治州,Xiangxi,0.10167876,"0.02(-0.15, 0.16)","0.02(-0.18, 0.18)","0(-1, 1)"
469002,琼海市,Qionghai,0.343533026,"0.09(-0.15, 0.36)","0.09(-0.18, 0.38)","0(-1, 2)"
341800,宣城市,Xuancheng,-0.248945235,"-0.06(-0.29, 0.16)","-0.06(-0.31, 0.18)","0(-1, 1)"
441500,汕尾市,Shanwei,-0.345032811,"-0.12(-0.44, 0.3)","-0.12(-0.48, 0.31)","0(-1, 1)"
533100,德宏傣族景颇族自治州,Dehong,-0.252867762,"-0.08(-0.41, 0.35)","-0.08(-0.45, 0.36)","0(-1, 1)"
621200,陇南市,Longnan,-0.353356727,"-0.12(-0.44, 0.3)","-0.12(-0.48, 0.31)","0(-1, 1)"
210500,本溪市,Benxi,-0.303593865,"-0.1(-0.43, 0.32)","-0.1(-0.46, 0.34)","0(-1, 1)"
341500,六安市,Liuan,-1.180874995,"-0.17(-0.39, -0.05)","-0.17(-0.39, -0.03)","-1(-3, 0)"
230300,鸡西市,Jixi,-1.149295987,"-0.57(-1.07, 0.1)","-0.57(-1.13, 0.11)","-1(-2, 0)"
370900,泰安市,Taian,-1.412211424,"-0.47(-0.77, -0.19)","-0.47(-0.8, -0.17)","-1(-2, 0)"
